work,year,venue,doi_or_id,family,one_step_update,multi_hop,functional_encryption_or_functional_access,public_verifiability,history_or_state_chain,checkpoint_or_compact_certification,formal_security,prototype_or_evaluation,direct_relevance_to_camh_cufe,positioning_note,verification_status
"Xu et al., Forward-Secure Multi-User and Verifiable Dynamic Searchable Encryption",2025,"Future Generation Computer Systems",10.1016/j.future.2024.107701,DSSE,yes,dynamic sequence,no,yes,yes,no,yes,yes,"FGCS POSITIONING","Uses a multiset-hash state chain for forward privacy and verifiable encrypted-data updates; key conceptual neighbor for state chaining but not FE or CUFE composability.",verified ScienceDirect
"Blockchain-assisted Verifiable Certificate-Based Searchable Encryption",2024,"Future Generation Computer Systems",10.1016/j.future.2023.11.016,searchable encryption,dynamic context,no,no,yes,verification levels,no,yes,yes,"FGCS POSITIONING","FGCS paper explicitly refines verifiability into levels; supports careful separation of verification semantics in CAMH-CUFE.",verified ScienceDirect
"Verifiable Multi-Client Blockchain-Based Dynamic Data Retrieval",2026,"Future Generation Computer Systems",10.1016/j.future.2025.108008,BV-DSSE,yes,dynamic sequence,no,yes,dynamic state / multiset hash,no,yes,yes,"FGCS POSITIONING","Combines public verifiability, dynamic encrypted data and updatable encryption for revocation; useful closest systems-level comparator.",verified ScienceDirect
"A Verifiable Data Integrity Scheme for Distributed Data Sharing in Fog Computing",2024,"Future Generation Computer Systems",10.1016/j.future.2023.08.016,data integrity,yes,dynamic operations,no,yes,dynamic data structure,no,yes,yes,"FGCS POSITIONING","Demonstrates FGCS interest in distributed public verification and dynamic operations without a trusted third-party auditor.",verified ScienceDirect
"Efficient Verifiable Databases with Insertion and Deletion",2021,"Future Generation Computer Systems",10.1016/j.future.2020.09.028,verifiable database,yes,dynamic operations,no,yes,authenticated dynamic structure,no,yes,yes,"FGCS POSITIONING","Addresses update attacks and public verification for dynamic outsourced state; compare only at the audit/state-integrity layer.",verified ScienceDirect
"Full Integrity and Freshness for Cloud Data",2018,"Future Generation Computer Systems",10.1016/j.future.2016.06.013,cloud integrity,yes,dynamic data,no,yes,freshness state,no,yes,yes,"FGCS POSITIONING","Explicitly targets replay resistance/freshness in cloud data; relevant to CAMH-CUFE replay/rollback threat discussion.",verified ScienceDirect
"Privacy Preserving Cloud Data Auditing with Efficient Key Update",2018,"Future Generation Computer Systems",10.1016/j.future.2016.09.003,cloud auditing,yes,key-update sequence,no,yes,auditing state,no,yes,yes,"FGCS POSITIONING","Formalizes auditing with key updates and implements it; relevant to audit/update methodology, not FE semantics.",verified ScienceDirect
"Deng et al., Non-interactive and Privacy-Preserving Neural Network Learning Using Functional Encryption",2023,"Future Generation Computer Systems",10.1016/j.future.2023.03.036,functional encryption,no,no,yes,no,no,no,yes,yes,"FGCS POSITIONING","Confirms FGCS publishes FE-based distributed/privacy-preserving systems when formal security and measured utility are both present.",verified ScienceDirect
"Towards Leakage-Resilient Fine-Grained Access Control in Fog Computing",2018,"Future Generation Computer Systems",10.1016/j.future.2017.01.025,functional encryption,no,no,yes,no,no,no,yes,construction/evaluation,"FGCS POSITIONING","FGCS precedent for a generic functional-encryption framework motivated by fog access control.",verified ScienceDirect
"PSCD: Privacy-Preserving Framework for DNNs on Encrypted Distributed Datasets",2026,"Future Generation Computer Systems",10.1016/j.future.2026.108390,functional encryption,no,no,yes,no,no,no,security analysis,yes,"FGCS POSITIONING","Very recent FGCS FE application reinforces the need to connect CAMH-CUFE to a distributed-system problem, not present it as isolated cryptographic machinery.",verified ScienceDirect
"Timed-Release and Partially Private Access Control for Decentralized IoT Collaboration Systems",2026,"Future Generation Computer Systems",10.1016/j.future.2025.108300,functional-encryption access control,no,no,yes,system-level,no,no,security mechanisms,yes,"FGCS POSITIONING","Recent FGCS work uses FE in decentralized collaboration; useful for motivating state/time-aware encrypted access control.",verified ScienceDirect
"Blockchain-Enabled Reliable Outsourced Decryption CP-ABE Using Responsive zkSNARK",2026,"Future Generation Computer Systems",10.1016/j.future.2025.108182,ABE / verifiable outsourcing,no,no,attribute-based encryption,yes,no,zkSNARK,yes,yes,"FGCS POSITIONING","Shows current FGCS bar for verifiable cryptographic systems: formal mechanism plus implementation and end-to-end performance evidence.",verified ScienceDirect
